questionId(UUID),Section,Question,ResponseType,SubTest,ExtractOrder
92fbba9b-3137-4250-b4b1-e49276cddbc5,P,/pa/model,string,Stimulability,150
be6c4870-50d0-42c8-82fc-44dcd363ee4a,P,/pa/cue,string,Stimulability,151
b0e2ce91-b1b3-432d-b383-914d3a8ae36b,P,/ap/model,string,Stimulability,152
453fea5e-88e2-4527-9ae0-cc2daf09912e,P,/ap/cue,string,Stimulability,153
4473d484-30ff-4b5d-8db2-f86d77dffe6a,P,/apa/model,string,Stimulability,154
6fa5355f-2cd7-4fcc-a63b-0034dd0eb70e,P,/apa/cue,string,Stimulability,155
81144e4e-1ba8-4ee5-aa9f-0e13f5a00e6f,B,/ba/model,string,Stimulability,156
aa157db5-3327-498f-95e6-52f9cf8ece43,B,/ba/cue,string,Stimulability,157
d0957d47-9581-4d79-8ffa-7cc41227f733,B,/ab/model,string,Stimulability,158
57e19bcf-6092-4ac1-b422-3c6cc2e63d45,B,/ab/cue,string,Stimulability,159
012434b7-4f1f-4f69-a55a-813898b71e46,B,/aba/model,string,Stimulability,160
3bfb2f84-dc2c-448d-a6b1-536743f89bc6,B,/aba/cue,string,Stimulability,161
257ae512-eac4-4fc5-864b-7ef3292387ba,T,/ta/model,string,Stimulability,162
6ec4ae32-03cf-4e7f-9348-95c16b48440b,T,/ta/cue,string,Stimulability,163
a9f9bf80-b947-4999-8880-758551f03203,T,/at/model,string,Stimulability,164
a3062d62-5059-4d0e-a1c5-68cea95c7db1,T,/at/cue,string,Stimulability,165
00c65df4-7d30-4010-bfd5-30d5e987bdb2,T,/ata/model,string,Stimulability,166
c6684808-954b-48c0-a0e2-809ef5e40bd0,T,/ata/cue,string,Stimulability,167
6de26ab8-a7bd-4e19-9c99-cbad4a62e36a,D,/da/model,string,Stimulability,168
99e9256c-4b5a-4990-bd40-defb88c9a70a,D,/da/cue,string,Stimulability,169
07b24667-6255-4b24-a901-d74716be4774,D,/ad/model,string,Stimulability,170
7d1e8ed8-30a2-49e3-9b73-a5fea420f9d2,D,/ad/cue,string,Stimulability,171
352baaa8-b0fa-4ae9-aafa-5a1a888bc08f,D,/ada/model,string,Stimulability,172
2242b961-aaf0-4934-8653-6b019f138a96,D,/ada/cue,string,Stimulability,173
48089e49-2221-4e58-839e-1a33ff6c85e0,K,/ka/model,string,Stimulability,174
0a826604-6a2d-45ec-88db-659d452aaf33,K,/ka/cue,string,Stimulability,175
aa7016bd-1080-48e6-b32c-b4802e0f9e81,K,/ak/model,string,Stimulability,176
0d914b9e-1927-4117-af75-ed15fa0c755d,K,/ak/cue,string,Stimulability,177
85a2885b-0501-4daa-8523-6b20b01fcc2d,K,/aka/model,string,Stimulability,178
172296b5-0e13-40f1-ab39-3cc2b68e9c42,K,/aka/cue,string,Stimulability,179
dcb30547-45dd-4a1c-9534-8feb691add03,G,/ga/model,string,Stimulability,180
