questionId(UUID),Section,Question,ResponseType
5d8d68c7-f494-421c-98f1-328707697d3d,CaseInformation,FirstName,string
0116dbc8-eefa-4b2c-806a-78e183c0be42,CaseInformation,LastName,string
da700443-3b89-483f-b2c2-89d2b1b00fc9,CaseInformation,DateOfBirth,date
dd72a4a5-383c-40f7-a040-e86b7a0c1b0b,CaseInformation,DateOfTesting,date
68220698-d43b-4662-8957-93fa1320bd60,CaseInformation,Sex,string
c41d7e38-659e-4fe2-91be-cc5ef5f973f5,CaseInformation,AboriginalOrTorresStraitIslander,string
52d2d07a-36d8-4f45-ac20-4d4e31d5caad,CaseInformation,LanguageBackgroundOtherThanEnglish,string
ae7fbe4c-2efd-4c0b-8ab0-0ae9acc0fdf7,CaseInformation,SpecifyMainLanguageSpokenAtHome,string
06f6b159-4bb4-423a-bd5b-ad987f76f6e1,CaseInformation,DevelopmentalConcerns,string
a1ac3197-0118-426e-b550-8f1bd6cb768c,CaseInformation,SpecifyDevelopmentalConcerns,string
