questionId(UUID),Section,Question,ResponseType
37ffb4ea-a330-4257-91fc-f04355b06a12,Imitation,Clouds,phonetic
41211127-2663-4ac9-8737-93261358aef4,Imitation,Helicopter,phonetic
eb20f55c-f5a5-4b75-9934-8be634f3fbf6,Imitation,Witch,phonetic
1da99ea4-8430-4788-82db-0deca8364a0a,Imitation,Sheep,phonetic
f00147e5-cad7-434a-8db4-3230fdc8b65b,Imitation,Lunchbox,phonetic
c5847850-0929-418c-89f9-c783dab1fe08,Imitation,Octopus,phonetic
f738b96f-f26e-414b-a018-40ee07c22af2,Imitation,VacuumCleaner,phonetic
d4269855-adb4-45cb-98b5-89d3e91246a6,Imitation,Kangaroo,phonetic
5b2314d1-cd2c-486c-9c53-d3523d9ddadd,Imitation,Frog,phonetic
bb1d63d1-810f-467d-8c30-c64056b19a7d,Imitation,Splash,phonetic
e6f425c8-d0a0-4f23-af0a-4d93befaf556,Imitation,Elephant,phonetic
c72604b4-2742-4bb6-863b-eee115abb8bf,Imitation,Sprinkles,phonetic
05119592-0e3b-4ee8-9492-fc926bd6f708,Imitation,Strawberries,phonetic
bf289fee-ff38-48b2-9a9c-b77082035484,Imitation,Cheese,phonetic
7a8fd53a-173d-44c0-b80c-8c037a9be9c5,Imitation,Screwdriver,phonetic
a47c1ae6-5745-48b0-924e-31b11355f7f0,Spontaneous,Clouds,phonetic
45487a84-6e4d-433a-a03f-b8c77e6f4dc9,Spontaneous,Helicopter,phonetic
f7fa2465-f2c2-4d96-908b-06894f1e3a60,Spontaneous,Witch,phonetic
db9b767a-9e0d-4832-b18a-e341bdd349c6,Spontaneous,Sheep,phonetic
68b985ae-1d33-47a4-8fb4-baab4e6d4eab,Spontaneous,Lunchbox,phonetic
48fe6e15-1c72-470f-9041-cb6e89a82932,Spontaneous,Octopus,phonetic
ccd67b0d-14e0-4923-b808-b8438c611444,Spontaneous,VacuumCleaner,phonetic
ed3cd5b3-fecc-4c9b-8d24-ecd10ba45c50,Spontaneous,Kangaroo,phonetic
819c2e00-b3e2-4bbb-98ad-e1d6b6d377ea,Spontaneous,Frog,phonetic
2058e39b-d9da-4eaf-bff2-a9b17e9ed5db,Spontaneous,Splash,phonetic
c1cb04c5-3feb-42ac-b3bb-54a0d1f57ef4,Spontaneous,Elephant,phonetic
11679188-f7ff-4c08-9fc2-b74dc0b68984,Spontaneous,Sprinkles,phonetic
c1a782ed-1ab3-43f2-bb49-c64cbdcaffca,Spontaneous,Strawberries,phonetic
0398c7f9-9f2d-4805-b246-a7edde5468e6,Spontaneous,Cheese,phonetic
a8aba04a-f7a1-4bf9-9205-553ed70d0c16,Spontaneous,Screwdriver,phonetic
