questionId(UUID),Question,ResponseType
e12600f2-0dda-4b7e-aaa3-569992b387bb,CorrectResponseCount,string
648feb7a-36ed-4719-9b38-e2e33aba1d73,OtherResponseCount,string
a33d8443-542f-4230-a0c7-87ba5a8fa330,NoResponse,string
84f6d868-705f-4892-a810-e4b2db531d3d,Assimilation ,string
ae4768a7-8dcd-4c9e-9973-e703e6d57d82,ClusterReduction ,string
a7be7d61-ccd5-4fb0-b93f-ff75d0fb31fd,Fronting ,string
61cc7b5e-a94a-42f0-92a0-872a849b7a5c,WeakSyllableDeletion ,string
b5399f5d-e797-4440-a4f9-78f25351d4e7,Stopping ,string
e2e6e0f0-c460-43da-85e1-eebc3c04414e,Gliding,string
f01223a6-c601-4489-940b-4ca7b5abe8f5,Voicing,string
518070ee-5035-4904-839c-81215204fb01,FinalConsonantDeletion,string
2cc7b147-f71f-420c-9f28-7200359f8765,Deaffrication,string
53b85d0b-00ad-45e4-a7e5-077591b9f046,Transposition,string
